DEPP;CODCOMP;COMP;DEP;CODCOM;COM;PMUN;PCAP;PTOT
28;422;Les Villages Vovéens;28;258;Montainville;301;6;307
28;056;Boutigny-Prouais;28;307;Prouais;557;12;569
28;199;Janville-en-Beauce;28;311;Le Puiset;400;9;409
28;422;Les Villages Vovéens;28;320;Rouvray-Saint-Florentin;207;3;210
28;331;Saintigny;28;331;Saint-Denis-d'Authou;453;9;462
28;034;Berchères-Saint-Germain;28;338;Saint-Germain-la-Gâtine;161;1;162
28;015;Auneau-Bleury-Saint-Symphorien;28;361;Bleury-Saint-Symphorien;1312;25;1337
28;018;Authon-du-Perche;28;376;Soizé;332;4;336
28;373;Senonches;28;381;Tardais;56;0;56
28;279;Nogent-le-Roi;28;399;Vacheresses-les-Basses;248;10;258
28;406;Éole-en-Beauce;28;406;Viabon;381;1;382
28;406;Éole-en-Beauce;28;412;Villeau;185;3;188
28;373;Senonches;28;413;La Ville-aux-Nonains;161;2;163
28;422;Les Villages Vovéens;28;416;Villeneuve-Saint-Nicolas;139;4;143
28;120;Crucey-Villages;28;420;Vitray-sous-Brézolles;80;0;80
28;422;Les Villages Vovéens;28;422;Voves;3285;48;3333
29;003;Audierne;29;003;Audierne;2151;35;2186
29;021;Plounéour-Brignogan-plages;29;021;Brignogan-Plages;740;18;758
29;003;Audierne;29;052;Esquibien;1539;31;1570
29;076;Milizac-Guipronvel;29;076;Guipronvel;817;6;823
29;241;Rosporden;29;092;Kernével;3173;70;3243
29;266;Saint-Thégonnec Loc-Eguiner;29;127;Loc-Eguiner-Saint-Thégonnec;322;5;327
29;227;Poullaouen;29;129;Locmaria-Berrien;223;4;227
29;076;Milizac-Guipronvel;29;149;Milizac;3789;59;3848
29;199;Plouigneau;29;199;Plouigneau;4898;164;5062
29;021;Plounéour-Brignogan-plages;29;203;Plounéour-Trez;1186;36;1222
29;199;Plouigneau;29;219;Le Ponthou;184;3;187
29;227;Poullaouen;29;227;Poullaouen;1250;29;1279
29;266;Saint-Thégonnec Loc-Eguiner;29;266;Saint-Thégonnec;2737;74;2811
31;085;Boutx;31;016;Argut-Dessus;43;0;43
31;085;Boutx;31;154;Couledoux;39;0;39
31;471;Saint-Béat-Lez;31;298;Lez;50;0;50
31;412;Péguilhan;31;307;Lunax;61;1;62
31;412;Péguilhan;31;412;Péguilhan;202;7;209
32;426;Seissan;32;011;Artiguedieu;96;0;96
32;344;Riscle;32;074;Cannet;353;12;365
32;079;Castelnau d'Auzan Labarrère;32;168;Labarrère;189;6;195
32;462;Vic-Fezensac;32;179;Lagraulas;104;3;107
32;344;Riscle;32;344;Riscle;1408;110;1518
33;018;Val de Virvée;33;018;Aubie-et-Espessas;1423;18;1441
33;106;Castets et Castillon;33;106;Castets-en-Dorthe;1208;23;1231
33;106;Castets et Castillon;33;107;Castillon-de-Castets;279;9;288
33;380;Val-de-Livenne;33;267;Marcillac;1120;15;1135
33;018;Val de Virvée;33;371;Saint-Antoine;438;5;443
33;380;Val-de-Livenne;33;380;Saint-Caprais-de-Blaye;666;8;674
33;018;Val de Virvée;33;495;Salignac;1840;20;1860
34;246;Entre-Vignes;34;246;Saint-Christol;1396;23;1419
34;246;Entre-Vignes;34;330;Vérargues;737;14;751
35;004;Val-Couesnon;35;004;Antrain;1286;23;1309
35;292;Saint-Marc-le-Blanc;35;011;Baillé;270;7;277
35;168;Val d'Anast;35;048;Campel;455;11;466
35;220;Piré-Chancé;35;053;Chancé;314;14;328
35;069;Châteaugiron;35;069;Châteaugiron;8359;218;8577
35;096;Domagné;35;074;Chaumeré;183;5;188
35;191;Les Portes du Coglais;35;083;Coglès;637;14;651
35;163;Luitré-Dompierre;35;100;Dompierre-du-Chemin;541;9;550
35;004;Val-Couesnon;35;113;La Fontenelle;520;13;533
35;308;Mesnil-Roc'h;35;147;Lanhélin;950;12;962
35;163;Luitré-Dompierre;35;163;Luitré;1277;21;1298
35;168;Val d'Anast;35;168;Maure-de-Bretagne;3488;71;3559
35;184;Montauban-de-Bretagne;35;184;Montauban-de-Bretagne;5632;233;5865
35;191;Les Portes du Coglais;35;191;Montours;1072;22;1094
35;069;Châteaugiron;35;209;Ossé;1310;25;1335
35;220;Piré-Chancé;35;220;Piré-sur-Seiche;2782;42;2824
35;069;Châteaugiron;35;254;Saint-Aubin-du-Pavail;872;24;896
35;257;Maen Roch;35;257;Saint-Brice-en-Coglès;3135;52;3187
35;257;Maen Roch;35;267;Saint-Étienne-en-Coglès;1898;41;1939
35;282;Rives-du-Couesnon;35;269;Saint-Georges-de-Chesné;707;11;718
35;282;Rives-du-Couesnon;35;282;Saint-Jean-sur-Couesnon;1224;28;1252
35;292;Saint-Marc-le-Blanc;35;292;Saint-Marc-le-Blanc;1335;36;1371
35;282;Rives-du-Couesnon;35;293;Saint-Marc-sur-Couesnon;575;8;583
35;184;Montauban-de-Bretagne;35;301;Saint-M'Hervon;614;8;622
35;004;Val-Couesnon;35;303;Saint-Ouen-la-Rouërie;825;11;836
35;308;Mesnil-Roc'h;35;308;Saint-Pierre-de-Plesguen;3014;55;3069
35;191;Les Portes du Coglais;35;323;La Selle-en-Coglès;574;10;584
35;004;Val-Couesnon;35;341;Tremblay;1488;40;1528
35;308;Mesnil-Roc'h;35;344;Tressé;423;9;432
35;282;Rives-du-Couesnon;35;348;Vendel;403;3;406
36;070;Éguzon-Chantôme;36;039;Chantôme;80;3;83
36;244;Villentrois-Faverolles-en-Berry;36;072;Faverolles-en-Berry;296;3;299
36;229;Val-Fouzon;36;151;Parpeçay;216;3;219
36;229;Val-Fouzon;36;183;Sainte-Cécile;86;1;87
36;093;Levroux;36;201;Saint-Martin-de-Lamps;148;0;148
36;229;Val-Fouzon;36;229;Varennes-sur-Fouzon;649;12;661
