"ANNEE";"AGE";"SEXE";"POP"
"2014";58;"M";3850
"2014";58;"F";3907
"2014";59;"M";3689
"2014";59;"F";3925
"2014";60;"M";3775
"2014";60;"F";3766
"2014";61;"M";3690
"2014";61;"F";3759
"2014";62;"M";3626
"2014";62;"F";3783
"2014";63;"M";3700
"2014";63;"F";3629
"2014";64;"M";3590
"2014";64;"F";3639
"2014";65;"M";3486
"2014";65;"F";3690
"2014";66;"M";3128
"2014";66;"F";3332
"2014";67;"M";3098
"2014";67;"F";3284
"2014";68;"M";2853
"2014";68;"F";2948
"2014";69;"M";2534
"2014";69;"F";2767
"2014";70;"M";2299
"2014";70;"F";2383
"2014";71;"M";2160
"2014";71;"F";2225
"2014";72;"M";2005
"2014";72;"F";2241
"2014";73;"M";1995
"2014";73;"F";2125
"2014";74;"M";1861
"2014";74;"F";1970
"2014";75;"M";1769
"2014";75;"F";1969
"2014";76;"M";1734
"2014";76;"F";2002
"2014";77;"M";1530
"2014";77;"F";1997
"2014";78;"M";1600
"2014";78;"F";1983
"2014";79;"M";1385
"2014";79;"F";1915
"2014";80;"M";1371
"2014";80;"F";1941
"2014";81;"M";1330
"2014";81;"F";1911
"2014";82;"M";1165
"2014";82;"F";1863
"2014";83;"M";1162
"2014";83;"F";1773
"2014";84;"M";1049
"2014";84;"F";1674
"2014";85;"M";909
"2014";85;"F";1546
"2014";86;"M";747
"2014";86;"F";1508
"2014";87;"M";737
"2014";87;"F";1358
"2014";88;"M";620
"2014";88;"F";1116
"2014";89;"M";561
"2014";89;"F";1024
"2014";90;"M";567
"2014";90;"F";1021
"2014";91;"M";340
"2014";91;"F";854
"2014";92;"M";233
"2014";92;"F";702
"2014";93;"M";186
"2014";93;"F";492
"2014";94;"M";114
"2014";94;"F";373
"2014";95;"M";55
"2014";95;"F";230
"2014";96;"M";32
"2014";96;"F";138
"2014";97;"M";25
"2014";97;"F";121
"2014";98;"M";22
"2014";98;"F";105
"2014";99;"M";56
"2014";99;"F";227
"2015";0;"M";3897
"2015";0;"F";3665
"2015";1;"M";4011
"2015";1;"F";3935
"2015";2;"M";4175
"2015";2;"F";4028
"2015";3;"M";4294
"2015";3;"F";3991
"2015";4;"M";4450
"2015";4;"F";4246
"2015";5;"M";4470
"2015";5;"F";4182
"2015";6;"M";4437
"2015";6;"F";4283
"2015";7;"M";4487
"2015";7;"F";4376
"2015";8;"M";4505
"2015";8;"F";4301
"2015";9;"M";4598
"2015";9;"F";4291
"2015";10;"M";4470
"2015";10;"F";4168
"2015";11;"M";4454
"2015";11;"F";4188
"2015";12;"M";4436
"2015";12;"F";4311
"2015";13;"M";4443
"2015";13;"F";4300
"2015";14;"M";4388
"2015";14;"F";4310
"2015";15;"M";4420
"2015";15;"F";4224
"2015";16;"M";4374
"2015";16;"F";4048
"2015";17;"M";4296
"2015";17;"F";3980
"2015";18;"M";3435
"2015";18;"F";3214
"2015";19;"M";3110
"2015";19;"F";2854
"2015";20;"M";3088
"2015";20;"F";2733
"2015";21;"M";2980
"2015";21;"F";2763
"2015";22;"M";3035
"2015";22;"F";2813
"2015";23;"M";3144
"2015";23;"F";2826
"2015";24;"M";3256
"2015";24;"F";3117
"2015";25;"M";3422
"2015";25;"F";3338
"2015";26;"M";3530
"2015";26;"F";3416
"2015";27;"M";3538
"2015";27;"F";3530
"2015";28;"M";3660
"2015";28;"F";3755
"2015";29;"M";3699
"2015";29;"F";3783
"2015";30;"M";3828
"2015";30;"F";3937
"2015";31;"M";3970
"2015";31;"F";3875
"2015";32;"M";4015
"2015";32;"F";3988
"2015";33;"M";4113
"2015";33;"F";4268
"2015";34;"M";4200
"2015";34;"F";4268
"2015";35;"M";4150
"2015";35;"F";4272
"2015";36;"M";4139
"2015";36;"F";4208
"2015";37;"M";3992
"2015";37;"F";4015
"2015";38;"M";4134
"2015";38;"F";4105
"2015";39;"M";4145
"2015";39;"F";4304
"2015";40;"M";4437
"2015";40;"F";4388
"2015";41;"M";4556
"2015";41;"F";4673
"2015";42;"M";4651
"2015";42;"F";4723
"2015";43;"M";4801
"2015";43;"F";4768
"2015";44;"M";4758
"2015";44;"F";4841
"2015";45;"M";4654
"2015";45;"F";4659
"2015";46;"M";4689
"2015";46;"F";4617
"2015";47;"M";4668
"2015";47;"F";4503
"2015";48;"M";4604
"2015";48;"F";4590
"2015";49;"M";4794
"2015";49;"F";4661
"2015";50;"M";4599
"2015";50;"F";4564
"2015";51;"M";4664
"2015";51;"F";4426
"2015";52;"M";4428
"2015";52;"F";4451
"2015";53;"M";4373
"2015";53;"F";4250
"2015";54;"M";4027
"2015";54;"F";4086
"2015";55;"M";4007
"2015";55;"F";4087
"2015";56;"M";3862
"2015";56;"F";4130
"2015";57;"M";3983
"2015";57;"F";4045
"2015";58;"M";3775
"2015";58;"F";3938
"2015";59;"M";3670
"2015";59;"F";3982
"2015";60;"M";3711
"2015";60;"F";3714
"2015";61;"M";3678
"2015";61;"F";3764
"2015";62;"M";3628
"2015";62;"F";3774
"2015";63;"M";3765
"2015";63;"F";3545
"2015";64;"M";3607
"2015";64;"F";3698
"2015";65;"M";3457
"2015";65;"F";3672
"2015";66;"M";3282
"2015";66;"F";3570
"2015";67;"M";3250
"2015";67;"F";3505
"2015";68;"M";3006
"2015";68;"F";3215
"2015";69;"M";2747
"2015";69;"F";2915
"2015";70;"M";2506
"2015";70;"F";2688
"2015";71;"M";2284
"2015";71;"F";2350
"2015";72;"M";2060
"2015";72;"F";2327
"2015";73;"M";2086
"2015";73;"F";2188
"2015";74;"M";1942
"2015";74;"F";2060
"2015";75;"M";1798
"2015";75;"F";1989
"2015";76;"M";1719
"2015";76;"F";2027
"2015";77;"M";1584
"2015";77;"F";2032
"2015";78;"M";1601
"2015";78;"F";1975
"2015";79;"M";1392
"2015";79;"F";1875
"2015";80;"M";1414
"2015";80;"F";1917
"2015";81;"M";1327
"2015";81;"F";1891
"2015";82;"M";1164
"2015";82;"F";1829
"2015";83;"M";1196
"2015";83;"F";1795
"2015";84;"M";1092
"2015";84;"F";1743
"2015";85;"M";923
"2015";85;"F";1608
"2015";86;"M";794
"2015";86;"F";1532
"2015";87;"M";777
"2015";87;"F";1401
"2015";88;"M";614
"2015";88;"F";1147
"2015";89;"M";545
"2015";89;"F";1066
"2015";90;"M";610
"2015";90;"F";987
"2015";91;"M";350
"2015";91;"F";843
"2015";92;"M";260
"2015";92;"F";761
"2015";93;"M";228
"2015";93;"F";542
"2015";94;"M";135
"2015";94;"F";459
"2015";95;"M";81
"2015";95;"F";319
"2015";96;"M";46
"2015";96;"F";211
"2015";97;"M";24
"2015";97;"F";109
"2015";98;"M";24
"2015";98;"F";99
"2015";99;"M";57
"2015";99;"F";195
"2016";0;"M";3918
"2016";0;"F";3619
"2016";1;"M";4007
"2016";1;"F";3857
"2016";2;"M";4094
"2016";2;"F";3972
"2016";3;"M";4329
"2016";3;"F";4036
"2016";4;"M";4432
"2016";4;"F";4169
"2016";5;"M";4429
"2016";5;"F";4287
"2016";6;"M";4493
"2016";6;"F";4318
"2016";7;"M";4605
"2016";7;"F";4435
"2016";8;"M";4568
"2016";8;"F";4333
"2016";9;"M";4659
"2016";9;"F";4324
"2016";10;"M";4550
"2016";10;"F";4211
"2016";11;"M";4510
"2016";11;"F";4288
"2016";12;"M";4390
"2016";12;"F";4310
"2016";13;"M";4535
"2016";13;"F";4339
"2016";14;"M";4472
"2016";14;"F";4339
"2016";15;"M";4498
"2016";15;"F";4238
"2016";16;"M";4415
"2016";16;"F";4053
"2016";17;"M";4389
"2016";17;"F";4112
"2016";18;"M";3525
"2016";18;"F";3240
"2016";19;"M";3248
"2016";19;"F";2934
"2016";20;"M";3118
"2016";20;"F";2803
"2016";21;"M";3017
"2016";21;"F";2749
"2016";22;"M";2942
"2016";22;"F";2794
"2016";23;"M";3078
"2016";23;"F";2824
"2016";24;"M";3271
"2016";24;"F";3084
"2016";25;"M";3476
"2016";25;"F";3339
"2016";26;"M";3510
"2016";26;"F";3376
"2016";27;"M";3539
"2016";27;"F";3503
"2016";28;"M";3585
"2016";28;"F";3795
"2016";29;"M";3777
"2016";29;"F";3842
"2016";30;"M";3825
"2016";30;"F";3988
"2016";31;"M";3987
"2016";31;"F";3927
"2016";32;"M";4025
"2016";32;"F";3960
"2016";33;"M";4075
"2016";33;"F";4243
"2016";34;"M";4191
"2016";34;"F";4341
"2016";35;"M";4194
"2016";35;"F";4315
"2016";36;"M";4130
"2016";36;"F";4316
"2016";37;"M";4122
"2016";37;"F";4118
"2016";38;"M";4093
"2016";38;"F";4176
"2016";39;"M";4034
"2016";39;"F";4297
"2016";40;"M";4282
"2016";40;"F";4254
"2016";41;"M";4506
"2016";41;"F";4549
"2016";42;"M";4517
"2016";42;"F";4634
"2016";43;"M";4710
"2016";43;"F";4778
"2016";44;"M";4800
"2016";44;"F";4797
"2016";45;"M";4759
"2016";45;"F";4729
"2016";46;"M";4673
"2016";46;"F";4695
"2016";47;"M";4705
"2016";47;"F";4538
"2016";48;"M";4659
"2016";48;"F";4633
"2016";49;"M";4767
"2016";49;"F";4630
"2016";50;"M";4588
