"Code","Geographic Local Authority Code","Geographic Local Authority Name"
"AAA02","110","SUNDERLAND CITY COUNCIL"
"AAA03","106","GATESHEAD METROPOLITAN BOROUGH COUNCIL"
"AAA04","106","GATESHEAD METROPOLITAN BOROUGH COUNCIL"
"AAA05","107","NEWCASTLE CITY COUNCIL"
"AAA06","104","NORTHUMBERLAND COUNTY COUNCIL"
"AAA07","108","NORTH TYNESIDE COUNCIL"
"AAA08","411","WALSALL METROPOLITAN BOROUGH COUNCIL"
"AAA09","916","BUCKINGHAMSHIRE COUNCIL"
"AAA10","916","BUCKINGHAMSHIRE COUNCIL"
"AAA11","916","BUCKINGHAMSHIRE COUNCIL"
"AAA12","916","BUCKINGHAMSHIRE COUNCIL"
"AAA13","916","BUCKINGHAMSHIRE COUNCIL"
"AAA14","916","BUCKINGHAMSHIRE COUNCIL"
"AAA15","916","BUCKINGHAMSHIRE COUNCIL"
"AAA16","916","BUCKINGHAMSHIRE COUNCIL"
"AAC01","713","CITY OF WESTMINSTER"
"AAD01","815","EAST SUSSEX COUNTY COUNCIL"
"AAE01","714","CITY OF LONDON CORPORATION"
"AAE02","512","NOTTINGHAM CITY COUNCIL"
"AAE03","205","DONCASTER METROPOLITAN BOROUGH COUNCIL"
"AAE04","509","LEICESTER CITY COUNCIL"
"AAE05","611","LUTON BOROUGH COUNCIL"
"AAF01","216","NORTH EAST LINCOLNSHIRE COUNCIL"
"AAG01","Z9D4Z","NORTH NORTHAMPTONSHIRE COUNCIL"
"AAH01","904","GLOUCESTERSHIRE COUNTY COUNCIL"
"AAH02","904","GLOUCESTERSHIRE COUNTY COUNCIL"
"AAJ01","613","MILTON KEYNES COUNCIL"
"AAK01","702","LONDON BOROUGH OF CAMDEN"
"AAK02","702","LONDON BOROUGH OF CAMDEN"
"AAL01","323","LANCASHIRE COUNTY COUNCIL"
"AAL02","W8X1Q","WESTMORLAND AND FURNESS COUNCIL"
"AAL03","323","LANCASHIRE COUNTY COUNCIL"
"AAL04","W8X1Q","WESTMORLAND AND FURNESS COUNCIL"
"AAM01","U6Q5Z","WEST NORTHAMPTONSHIRE COUNCIL"
"AAN01","506","DERBYSHIRE COUNTY COUNCIL"
"AAP01","608","OXFORDSHIRE COUNTY COUNCIL"
"AAQ01","620","ESSEX COUNTY COUNCIL"
"AAR01","306","MANCHESTER CITY COUNCIL"
"AAR02","608","OXFORDSHIRE COUNTY COUNCIL"
"AAR03","215","HULL CITY COUNCIL"
"AAT01","820","KENT COUNTY COUNCIL"
"AAT02","807","WEST SUSSEX COUNTY COUNCIL"
"AAT03","807","WEST SUSSEX COUNTY COUNCIL"
"AAT04","319","WIRRAL BOROUGH COUNCIL"
"AAT05","319","WIRRAL BOROUGH COUNCIL"
"AAT06","310","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"AAT07","326","CHESHIRE EAST COUNCIL"
"AAT08","911","SOUTH GLOUCESTERSHIRE COUNCIL"
"AAT09","911","SOUTH GLOUCESTERSHIRE COUNCIL"
"AAT10","909","BRISTOL CITY COUNCIL"
"AAT11","909","BRISTOL CITY COUNCIL"
"AAT12","815","EAST SUSSEX COUNTY COUNCIL"
"AAT13","815","EAST SUSSEX COUNTY COUNCIL"
"AAT14","815","EAST SUSSEX COUNTY COUNCIL"
"AAT15","815","EAST SUSSEX COUNTY COUNCIL"
"AAT16","820","KENT COUNTY COUNCIL"
"AAT17","815","EAST SUSSEX COUNTY COUNCIL"
"AAT18","820","KENT COUNTY COUNCIL"
"AAT19","820","KENT COUNTY COUNCIL"
"AAT20","807","WEST SUSSEX COUNTY COUNCIL"
"AAT21","319","WIRRAL BOROUGH COUNCIL"
"AAT22","815","EAST SUSSEX COUNTY COUNCIL"
"AAT23","326","CHESHIRE EAST COUNCIL"
"AAT24","909","BRISTOL CITY COUNCIL"
"AAT25","410","SOLIHULL METROPOLITAN BOROUGH COUNCIL"
"AAT26","326","CHESHIRE EAST COUNCIL"
"AAT27","816","BRIGHTON AND HOVE CITY COUNCIL"
"AAT28","820","KENT COUNTY COUNCIL"
"AAT29","807","WEST SUSSEX COUNTY COUNCIL"
"AAT30","327","CHESHIRE WEST AND CHESTER COUNCIL"
"AAT31","410","SOLIHULL METROPOLITAN BOROUGH COUNCIL"
"AAT32","820","KENT COUNTY COUNCIL"
"AAT33","820","KENT COUNTY COUNCIL"
"AAT34","406","BIRMINGHAM CITY COUNCIL"
"AAT35","406","BIRMINGHAM CITY COUNCIL"
"AAT36","412","CITY OF WOLVERHAMPTON COUNCIL"
"AAT37","412","CITY OF WOLVERHAMPTON COUNCIL"
"AAT38","617","SLOUGH BOROUGH COUNCIL"
"AAT39","614","BRACKNELL FOREST COUNCIL"
"AAT40","911","SOUTH GLOUCESTERSHIRE COUNCIL"
"AAV01","325","BLACKPOOL BOROUGH COUNCIL"
"AAV02","323","LANCASHIRE COUNTY COUNCIL"
"AAV06","323","LANCASHIRE COUNTY COUNCIL"
"AAV17","506","DERBYSHIRE COUNTY COUNCIL"
"AAV18","326","CHESHIRE EAST COUNCIL"
"AAV19","306","MANCHESTER CITY COUNCIL"
"AAV20","326","CHESHIRE EAST COUNCIL"
"AAV21","326","CHESHIRE EAST COUNCIL"
"AAV22","326","CHESHIRE EAST COUNCIL"
"AAV23","325","BLACKPOOL BOROUGH COUNCIL"
"AAW01","606","HERTFORDSHIRE COUNTY COUNCIL"
"AAW02","607","NORFOLK COUNTY COUNCIL"
"AAW03","609","SUFFOLK COUNTY COUNCIL"
"AAW04","607","NORFOLK COUNTY COUNCIL"
"AAX01","820","KENT COUNTY COUNCIL"
"AAY01","503","LINCOLNSHIRE COUNTY COUNCIL"
"AC001","324","BLACKBURN WITH DARWEN BOROUGH COUNCIL"
"AC002","324","BLACKBURN WITH DARWEN BOROUGH COUNCIL"
"AC005","323","LANCASHIRE COUNTY COUNCIL"
"AC201","820","KENT COUNTY COUNCIL"
"AC601","820","KENT COUNTY COUNCIL"
"AC701","904","GLOUCESTERSHIRE COUNTY COUNCIL"
"AC801","113","REDCAR AND CLEVELAND BOROUGH COUNCIL"
"AC802","413","STAFFORDSHIRE COUNTY COUNCIL"
"AC803","113","REDCAR AND CLEVELAND BOROUGH COUNCIL"
"AC804","509","LEICESTER CITY COUNCIL"
"AC805","509","LEICESTER CITY COUNCIL"
"AC901","712","LONDON BOROUGH OF WANDSWORTH"
"ACA02","H6X4G","CUMBERLAND COUNCIL"
"ACC01","812","HAMPSHIRE COUNTY COUNCIL"
"ACC03","817","WILTSHIRE COUNCIL"
"ACD01","820","KENT COUNTY COUNCIL"
"ACE01","820","KENT COUNTY COUNCIL"
"ACF01","107","NEWCASTLE CITY COUNCIL"
"ACG01","812","HAMPSHIRE COUNTY COUNCIL"
"ACG02","609","SUFFOLK COUNTY COUNCIL"
"ACG03","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"ACG04","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"ACG05","819","SWINDON BOROUGH COUNCIL"
"ACG06","904","GLOUCESTERSHIRE COUNTY COUNCIL"
"ACG07","509","LEICESTER CITY COUNCIL"
"ACG08","404","WARWICKSHIRE COUNTY COUNCIL"
"ACG09","506","DERBYSHIRE COUNTY COUNCIL"
"ACG10","909","BRISTOL CITY COUNCIL"
"ACG11","326","CHESHIRE EAST COUNCIL"
"ACG12","216","NORTH EAST LINCOLNSHIRE COUNCIL"
"ACG13","904","GLOUCESTERSHIRE COUNTY COUNCIL"
"ACG14","710","LONDON BOROUGH OF SOUTHWARK"
"ACG15","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"ACG16","506","DERBYSHIRE COUNTY COUNCIL"
"ACG17","909","BRISTOL CITY COUNCIL"
"ACG18","910","NORTH SOMERSET COUNCIL"
"ACG19","212","LEEDS CITY COUNCIL"
"ACG20","909","BRISTOL CITY COUNCIL"
"ACG21","609","SUFFOLK COUNTY COUNCIL"
"ACG22","217","NORTH LINCOLNSHIRE COUNCIL"
"ACG23","609","SUFFOLK COUNTY COUNCIL"
"ACG24","112","MIDDLESBROUGH BOROUGH COUNCIL"
"ACG25","215","HULL CITY COUNCIL"
"ACG26","506","DERBYSHIRE COUNTY COUNCIL"
"ACG27","404","WARWICKSHIRE COUNTY COUNCIL"
"ACG28","318","ST HELENS COUNCIL"
"ACG29","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"ACG30","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"ACG31","416","WORCESTERSHIRE COUNTY COUNCIL"
"ACG32","908","BATH AND NORTH EAST SOMERSET COUNCIL"
"ACG33","215","HULL CITY COUNCIL"
"ACG34","218","NORTH YORKSHIRE COUNCIL"
"ACG35","217","NORTH LINCOLNSHIRE COUNCIL"
"ACG36","912","DEVON COUNTY COUNCIL"
"ACG37","609","SUFFOLK COUNTY COUNCIL"
"ACG38","910","NORTH SOMERSET COUNCIL"
"ACG39","819","SWINDON BOROUGH COUNCIL"
"ACG40","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"ACG41","905","SOMERSET COUNCIL"
"ACH01","820","KENT COUNTY COUNCIL"
"ACJ01","722","LONDON BOROUGH OF EALING"
"ACK01","909","BRISTOL CITY COUNCIL"
"ACL01","812","HAMPSHIRE COUNTY COUNCIL"
"ACL03","814","SOUTHAMPTON CITY COUNCIL"
"ACM01","326","CHESHIRE EAST COUNCIL"
"ACM02","327","CHESHIRE WEST AND CHESTER COUNCIL"
"ACM03","326","CHESHIRE EAST COUNCIL"
"ACP01","713","CITY OF WESTMINSTER"
"ACQ01","104","NORTHUMBERLAND COUNTY COUNCIL"
