"dep";"annee";"tauxPatients"
"07";2021;193,94
"08";2021;184,69
"09";2021;186,84
"10";2021;174,49
"11";2021;202,48
"12";2021;179,52
"13";2021;220,01
"14";2021;187,69
"15";2021;188,2
"16";2021;182,47
"17";2021;188,54
"18";2021;170,88
"19";2021;184,7
"21";2021;184,58
"22";2021;189,73
"23";2021;189,11
"24";2021;192,15
"25";2021;173,2
"26";2021;188,08
"27";2021;184,6
"28";2021;181,61
"29";2021;195,93
"2A";2021;186,88
"2B";2021;183,97
"30";2021;198,18
"31";2021;197,79
"32";2021;195,09
"33";2021;205,55
"34";2021;206,34
"35";2021;175,47
"36";2021;177,84
"37";2021;175,05
"38";2021;191,58
"39";2021;184,14
"40";2021;200,67
"41";2021;171,38
"42";2021;202,08
"43";2021;206,06
"44";2021;199,51
"45";2021;171,96
"46";2021;187,98
"47";2021;192,55
"48";2021;184,42
"49";2021;188,77
"50";2021;177,12
"51";2021;186,92
"52";2021;189,55
"53";2021;174,31
"54";2021;194,14
"55";2021;195,2
"56";2021;187,97
"57";2021;179,72
"58";2021;179,64
"59";2021;204,8
"60";2021;183,52
"61";2021;187,12
"62";2021;199,94
"63";2021;184,96
"64";2021;197,67
"65";2021;189,36
"66";2021;191,47
"67";2021;195,38
"68";2021;176,83
"69";2021;191,66
"70";2021;183,08
"71";2021;197,89
"72";2021;189,76
"73";2021;186,14
"74";2021;175,54
"75";2021;174,81
"76";2021;191,29
"77";2021;179,08
"78";2021;179,34
"79";2021;177,39
"80";2021;187,72
"81";2021;191,66
"82";2021;195,48
"83";2021;212,59
"84";2021;198,37
"85";2021;198,48
"86";2021;181,69
"87";2021;182,49
"88";2021;191,4
"89";2021;186,14
"90";2021;169,88
"91";2021;181,44
"92";2021;171,99
"93";2021;178,74
"94";2021;175,85
"95";2021;185,01
"971";2021;167,37
"972";2021;157,36
"973";2021;158,29
"974";2021;181,42
"976";2021;69,41
"977";2021;158,14
"978";2021;150,04
"00";2021;187,08
